Question	Label
Does drug Pyridoxal phosphate interact with protein Glycogen phosphorylase, liver form?	1
Does drug Ertapenem interact with protein Peptidoglycan D,D-transpeptidase FtsI?	1
Does drug Pyridoxal phosphate interact with protein Histidine decarboxylase?	1
Does drug Glutamic acid interact with protein Glutaminase liver isoform, mitochondrial?	1
Does drug Propylene glycol interact with protein Coagulation factor XIII A chain?	1
Does drug N-Acetyl-Serine interact with protein Coagulation factor XIII A chain?	1
Does drug Arginine interact with protein Nitric oxide synthase, inducible?	1
Does drug Citrulline interact with protein Nitric oxide synthase, inducible?	1
Does drug Miconazole interact with protein Nitric oxide synthase, inducible?	1
Does drug Dexamethasone interact with protein Nitric oxide synthase, inducible?	1
Does drug N,N-dimethylarginine interact with protein Nitric oxide synthase, inducible?	1
Does drug 4R-Fluoro-N6-ethanimidoyl-L-lysine interact with protein Nitric oxide synthase, inducible?	1
Does drug 3-Bromo-7-Nitroindazole interact with protein Nitric oxide synthase, inducible?	1
Does drug N-[3-(aminomethyl)benzyl]acetamidine interact with protein Nitric oxide synthase, inducible?	1
Does drug 7-Nitroindazole interact with protein Nitric oxide synthase, inducible?	1
Does drug S-Ethylisothiourea interact with protein Nitric oxide synthase, inducible?	1
Does drug Thiocoumarin interact with protein Nitric oxide synthase, inducible?	1
Does drug N-omega-propyl-L-arginine interact with protein Nitric oxide synthase, inducible?	1
Does drug 6-Nitroindazole interact with protein Nitric oxide synthase, inducible?	1
Does drug N(5)-[(hydroxyamino)(imino)methyl]-L-ornithine interact with protein Nitric oxide synthase, inducible?	1
Does drug Imidazole interact with protein Nitric oxide synthase, inducible?	1
Does drug N-(4-{2-[(3-chlorobenzyl)amino]ethyl}phenyl)thiophene-2-carboximidamide interact with protein Nitric oxide synthase, inducible?	1
Does drug Thiocitrulline interact with protein Nitric oxide synthase, inducible?	1
Does drug L-erythro-7,8-dihydrobiopterin interact with protein Nitric oxide synthase, inducible?	1
Does drug 5-Nitroindazole interact with protein Nitric oxide synthase, inducible?	1
Does drug Fenoxaprop-ethyl interact with protein Nitric oxide synthase, inducible?	1
Does drug Pimagedine interact with protein Nitric oxide synthase, inducible?	1
Does drug 5-(4'-AMINO-1'-ETHYL-5',8'-DIFLUORO-1'H-SPIRO[PIPERIDINE-4,2'-QUINAZOLINE]-1-YLCARBONYL)PICOLINONITRILE interact with protein Nitric oxide synthase, inducible?	1
Does drug N-[2-(1,3-BENZODIOXOL-5-YL)ETHYL]-1-[2-(1H-IMIDAZOL-1-YL)-6-METHYLPYRIMIDIN-4-YL]-D-PROLINAMIDE interact with protein Nitric oxide synthase, inducible?	1
Does drug 4-({4-[(4-methoxypyridin-2-yl)amino]piperidin-1-yl}carbonyl)benzonitrile interact with protein Nitric oxide synthase, inducible?	1
Does drug (2S)-2-methyl-2,3-dihydrothieno[2,3-f][1,4]oxazepin-5-amine interact with protein Nitric oxide synthase, inducible?	1
Does drug (3R)-3-[(1,2,3,4-tetrahydroisoquinolin-7-yloxy)methyl]-2,3-dihydrothieno[2,3-f][1,4]oxazepin-5-amine interact with protein Nitric oxide synthase, inducible?	1
Does drug 4-(1,3-BENZODIOXOL-5-YLOXY)-2-[4-(1H-IMIDAZOL-1-YL)PHENOXY]PYRIMIDINE interact with protein Nitric oxide synthase, inducible?	1
Does drug (3S)-1-(1,3-BENZODIOXOL-5-YLMETHYL)-3-[4-(1H-IMIDAZOL-1-YL)PHENOXY]PIPERIDINE interact with protein Nitric oxide synthase, inducible?	1
Does drug 4-(1,3-BENZODIOXOL-5-YLOXY)-2-[4-(1H-IMIDAZOL-1-YL)PHENOXY]-6-METHYLPYRIMIDINE interact with protein Nitric oxide synthase, inducible?	1
Does drug ETHYL 4-[(4-CHLOROPYRIDIN-2-YL)AMINO]PIPERIDINE-1-CARBOXYLATE interact with protein Nitric oxide synthase, inducible?	1
Does drug N-[2-(4-AMINO-5,8-DIFLUORO-1,2-DIHYDROQUINAZOLIN-2-YL)ETHYL]-3-FURAMIDE interact with protein Nitric oxide synthase, inducible?	1
Does drug ETHYL 4-[(4-METHYLPYRIDIN-2-YL)AMINO]PIPERIDINE-1-CARBOXYLATE interact with protein Nitric oxide synthase, inducible?	1
